OrderId,StopSequenceNumber,CargoChangeSequenceNumber,CargoChangeType,GeneralDescription,Weight,TruckNumber,TrailerNumber,Driver1Name,Driver2Name
000000000001,2,1,Load,KSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],2384.28,,853091138781,Xaviera French,
000000000001,3,1,Hook,JSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],8816.51,,,Nancy Ramakrishnan,
000000000001,4,1,Load,uranium,8340.39,589666496656,450629534794,Harriet D. Williams,
000000000001,4,2,Unload,apples,3088.53,,,George T. Quasnoy,
000000000001,6,1,Drop,lobsters,4134.86,5094271149,,Tammy Smith,
000000000002,2,1,Hook,LSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],830.99,117220389903,,Yancey J. Quasnoy,
000000000002,3,1,Drop,LSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],8064.59,,581547954949,Francis Quasnoy-Smith,
000000000002,4,1,Unload,OSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],3782.29,80316009425,,Louise N. Yarbrough,
000000000002,5,1,Load,YSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],9168.53,480369635932,999435315615,William Covington,
000000000002,5,2,Unload,VSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],6670.87,134844218754,,Velma I. Underwood-Quasnoy,
000000000002,6,1,Unload,CSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],7130.87,85132554444,446486106166,Francis Quasnoy,
000000000002,7,1,Unload,PSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],3687.77,579118028506,,Louise Smith,Eduardo X. Jackson
000000000002,8,1,Drop,gold,8098.49,595313673062,556171184083,Eduardo K. Nelson,
000000000003,2,1,Load,ISystem.Linq.Enumerable+EnumerablePartition`1[System.Char],5221.09,461425436749,143012323368,Alfred Mitchell,
000000000003,3,1,Drop,YSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],2475.77,,,Patricia O'Toole-Thompson,
000000000004,2,1,Hook,KSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],8017.43,194807199480,,Harriet Smith Yarbrough,
000000000004,6,1,Drop,WSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],9268.11,,278533059571,Velma M. Edwards,
000000000004,7,1,Drop,QSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],9191.97,343920269092,619970472956,Danielle Anderson,
000000000005,2,1,Hook,apples,6869.31,780546834119,991081113187,Nancy Ramakrishnan,
000000000005,3,1,Hook,LSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],673.36,913083641756,,Danielle A. Williams,
000000000005,5,1,Load,RSystem.Linq.Enumerable+EnumerablePartition`1[System.Char],9311.01,,,Samuel E. Dawson,
