OrderId,StopSequenceNumber,CargoChangeSequenceNumber,CargoChangeType,GeneralDescription,Weight,TruckNumber,TrailerNumber,Driver1Name,Driver2Name
"000000000001",2,1,"Load","Gold, stovepipe hats and orange juice",3510.88,"339767532986","65756558854","Ulysses Benitez",""
"000000000001",3,1,"Drop","Caesar salad mix, hot dog buns, uranium and x-ray machine parts",2722.78,"740819800062","585361745585","Tammy Covington","Louise O. Yarbrough-O'Toole"
"000000000001",4,1,"Unload","stovepipe hats",3279.38,"777492030669","877663757532","Louise Benitez","Harriet Edwards"
"000000000002",2,1,"Load","Ice cream cones, hot dog buns and krazy glue",4960.44,"425018763900","41119781482","Danielle Y. Xing",""
"000000000002",3,1,"Hook","Machinery and radium",4535.92,"491031655853","303757491717","Nancy Velazquez-Lewis",""
"000000000002",4,1,"Hook","Apples and uranium",4766.19,"384318272780","202718257029","Oliver Lewis",""
"000000000002",5,1,"Load","Hot dog buns and x-ray machine parts",2484.75,"","737174583358","Roberta Edwards-Kern",""
"000000000002",6,1,"Hook","uranium",7709.97,"","175166485116","Quincy D. Yarbrough",""
"000000000002",7,1,"Unload","Apples, flash-frozen french fries and quilts",9832.19,"156902349212","","Xaviera O. Harrison",""
"000000000003",2,1,"Hook","Machinery, ice cream cones and apples",6827.28,"","","Isaiah Nelson-Xing",""
"000000000003",3,1,"Drop","Ice cream cones, stovepipe hats and flash-frozen french fries",6686.66,"827038081080","9226203120","Kevin Kern",""
"000000000003",4,1,"Drop","Quilts, bricks and x-ray machine parts",6784.4,"","","Xaviera Y. Nelson",""
"000000000003",5,1,"Hook","Yoyos and jogging pants",1296.67,"","766399196193","Tammy Ramakrishnan",""
"000000000003",5,2,"Drop","stovepipe hats",1752.86,"168083453242","","Isaiah Williams-Perry",""
"000000000003",6,1,"Load","Radium and lobsters",3296.32,"718379269822","934011260963","Kevin Quasnoy",""
"000000000003",6,2,"Unload","bricks",1366.4,"","322933406854","Yancey Smith-Dawson",""
"000000000003",7,1,"Hook","Yoyos and lobsters",3242.65,"","339556167953","Oliver I. Yarbrough",""
"000000000003",7,2,"Drop","turtle eggs",5366.67,"672311987459","907578092028","Nancy K. Grimes Jackson",""
"000000000003",8,1,"Drop","Hot dog buns and quilts",3904.91,"978363118859","754040882401","Quincy U. Thompson-Smith",""
"000000000004",2,1,"Hook","Windows and ice cream cones",6472.86,"","224253686284","Eduardo Jackson-Anderson",""
"000000000004",3,1,"Drop","Engine parts and ice cream cones",2144.23,"","487585747932","Ulysses Quasnoy",""
"000000000004",4,1,"Drop","Yoyos and dogfood",837.28,"188911934407","672094931099","Betty Velazquez-Jackson",""
"000000000004",5,1,"Hook","x-ray machine parts",2028.67,"","860474480651","Louise Quasnoy",""
"000000000004",5,2,"Unload","Orange juice, nylon stockings and windows",6922.28,"289145655495","222593751720","Janice O'Toole-Dawson",""
"000000000004",6,1,"Unload","Nylon stockings, apples, krazy glue and velvet",5756.57,"996694303420","977171975686","Charles S. French",""
"000000000005",2,1,"Hook","Yoyos and Caesar salad mix",7774.12,"","517509859710","Tammy W. O'Toole",""
"000000000005",4,1,"Drop","Bricks, gold and lobsters",7220.84,"","612946961648","Louise D. Jackson",""
"000000000005",6,1,"Drop","Orange juice, hot dog buns and lobsters",9891.76,"929162197286","359551042282","George Harrison Mitchell",""
"000000000005",8,1,"Hook","Machinery, radium, windows and jogging pants",3046.91,"96401736339","4215858029","Kevin Kern",""
"000000000005",9,1,"Load","Yoyos, orange juice, potatoes and krazy glue",7490.01,"","780931466980","Tammy D. Dawson",""
"000000000005",10,1,"Drop","Jogging pants, quilts, lobsters and gold",7269.65,"989719717457","475855249979","Yancey French",""
"000000000006",2,1,"Hook","Yoyos, turtle eggs, orange juice and potatoes",5243.91,"712555179977","111390701644","Mitchell Edwards",""
"000000000006",3,1,"Load","Gold, jogging pants, lobsters and stovepipe hats",4364.22,"8517323052","","Samuel Yarbrough Jackson",""
"000000000006",3,2,"Unload","machinery",2937.53,"","","Harriet K. Yarbrough Covington",""
"000000000006",4,1,"Drop","Dogfood, velvet, engine parts and orange juice",6482.68,"142288723977","","Roberta J. Thompson","Yancey M. Thompson"
"000000000006",5,1,"Unload","Caesar salad mix",8196.86,"711290525006","","Harriet Nelson",""
"000000000006",10,1,"Drop","Hot dog buns and radium",1736.07,"","","Yancey Velazquez",""
"000000000007",2,1,"Load","X-ray machine parts and turtle eggs",3321.37,"927978766978","548059515083","Harriet Quasnoy",""
"000000000007",3,1,"Load","Lobsters, quilts and dogfood",5724.11,"61188683466","112494541404","Danielle G. Underwood French",""
"000000000007",3,2,"Unload","Quilts and flash-frozen french fries",7368.13,"632975771878","574268025295","William Jackson",""
"000000000007",5,1,"Hook","machinery",5853.82,"92290971623","339502276359","Isaiah Yarbrough",""
"000000000007",6,1,"Drop","Uranium and flash-frozen french fries",3185.3,"472210164765","562862801360","Charles U. Kern",""
"000000000008",2,1,"Hook","Dogfood, velvet, lobsters and gold",1051.92,"673800297090","850047926207","Eduardo Underwood",""
"000000000008",3,1,"Hook","ice cream cones",8658.99,"","","George French",""
"000000000008",3,2,"Unload","X-ray machine parts, radium and orange juice",9041.29,"850554917529","","Eduardo G. Mitchell",""
"000000000008",5,1,"Hook","Velvet, radium and orange juice",3743.84,"640477308383","338291097008","Isaiah Williams-Yarbrough",""
"000000000008",5,2,"Drop","Nylon stockings, gold and engine parts",8656.87,"41657574361","","Patricia A. Mitchell",""
"000000000008",6,1,"Hook","Hot dog buns and flash-frozen french fries",9533.66,"760167337311","","Isaiah Jackson-Benitez",""
"000000000008",6,2,"Drop","Dogfood and quilts",8710.02,"640941820249","","Nancy E. French",""
"000000000008",7,1,"Hook","Machinery, x-ray machine parts, ice cream cones and dogfood",9089.72,"949208566548","","Roberta Dawson",""
"000000000008",7,2,"Drop","apples",7840.88,"","174616260919","Oliver Thompson","Francis Grimes-Williams"
"000000000008",9,1,"Load","Jogging pants and dogfood",550.26,"144395082634","268999921050","Janice Jackson",""
"000000000008",11,1,"Load","Stovepipe hats, machinery, flash-frozen french fries and gold",6840.55,"","816134539476","Oliver H. Nelson",""
"000000000008",12,1,"Unload","Uranium, orange juice, quilts and yoyos",3285.37,"826258094408","","Francis Edwards",""
"000000000009",2,1,"Hook","Nylon stockings and hot dog buns",9248.39,"55900288432","366092174398","Samuel Grimes",""
"000000000009",3,1,"Unload","Caesar salad mix",5071.94,"419243735219","177600069407","Isaiah French",""
"000000000009",4,1,"Hook","windows",1546.23,"","","Charles M. Ramakrishnan",""
"000000000009",5,1,"Hook","Bricks and flash-frozen french fries",6193.72,"321314142405","55245582131","George F. Grimes",""
"000000000009",5,2,"Unload","Stovepipe hats and ice cream cones",9590.66,"","755647111169","George Mitchell",""
"000000000009",6,1,"Load","Flash-frozen french fries, nylon stockings and stovepipe hats",534.58,"","","Samuel Ramakrishnan-Velazquez",""
"000000000009",7,1,"Hook","Caesar salad mix and potatoes",1741,"107676408538","254768007061","Louise X. Benitez",""
"000000000009",8,1,"Hook","quilts",5591.68,"573586661210","727936140726","Danielle Xing",""
"000000000009",8,2,"Drop","turtle eggs",1276.8,"363749828271","343510674634","Quincy M. Benitez",""
"000000000009",9,1,"Load","Machinery, potatoes and stovepipe hats",6980.11,"","","Mitchell Edwards",""
"000000000009",10,1,"Drop","Quilts, stovepipe hats and krazy glue",8505.27,"567599373673","","William Velazquez",""
"000000000010",2,1,"Hook","quilts",9966.71,"","585191465992","Mitchell B. Benitez Smith",""
"000000000010",4,1,"Unload","velvet",6171.65,"592000535235","612057065779","Janice Ramakrishnan-Xing",""
"000000000010",5,1,"Hook","hot dog buns",6619.72,"230320700891","","Kevin S. Williams","Danielle G. Yarbrough-Covington"
"000000000010",5,2,"Drop","hot dog buns",5630.13,"127763851114","219803218412","Ulysses Smith","Yancey V. O'Toole"
"000000000010",6,1,"Hook","krazy glue",145.5,"47546509201","642343743681","Kevin Velazquez",""
"000000000010",6,2,"Drop","Lobsters, hot dog buns and krazy glue",4807.53,"302884702450","806964937023","William Y. Underwood","Quincy Williams-Edwards"
"000000000010",7,1,"Unload","Ice cream cones and radium",2213.46,"","","Francis D. Lewis",""
"000000000011",2,1,"Hook","radium",2207.42,"775524765367","189118162043","Velma Thompson",""
"000000000011",3,1,"Hook","Machinery, hot dog buns, jogging pants and bricks",1850.74,"","54668001550","Francis Q. Thompson",""
"000000000011",4,1,"Unload","Flash-frozen french fries, jogging pants, bricks and quilts",5340.65,"684664367141","775797955732","Ulysses G. Xing",""
"000000000012",2,1,"Hook","Gold, radium and ice cream cones",5996.79,"186669530153","961081489837","Kevin Thompson",""
"000000000012",3,1,"Drop","Quilts, engine parts, windows and nylon stockings",8097.9,"","557986598990","Ulysses Kern",""
"000000000012",4,1,"Drop","Hot dog buns, engine parts, lobsters and orange juice",922.06,"","","Charles Kern-Williams",""
"000000000012",5,1,"Hook","windows",4986.59,"515025856497","","Oliver S. Kern-Mitchell",""
